日期,定基指数,环比指数,同比指数
2015-07-31,103.77,104.42,102.23
2015-12-31,101.34,96.49,96.64
2016-01-31,98.54,97.24,91.3
2016-02-29,96.27,97.7,87.71
2016-03-31,96.86,100.61,84.23
2016-04-30,105.14,108.54,92.51
2016-05-31,102.83,97.8,99.44
2016-06-30,101.27,98.48,101.91
2016-07-31,101.48,100.21,97.8
2016-08-31,96.89,95.47,94.26
2016-09-30,99.51,102.71,94.5
2016-10-31,108.14,108.67,100.3
2016-11-30,116.77,107.98,111.18
2016-12-31,116.84,100.06,115.3
2017-01-31,118.78,101.66,120.54
2017-02-28,109.79,92.44,114.05
2017-03-31,107.83,98.21,111.32
2017-04-30,106.26,98.55,101.07
2017-05-31,106.31,100.04,103.39
2017-06-30,106.99,100.69,105.65
2017-07-31,105.06,98.19,103.52
2017-08-31,104.0,99.0,107.35
2017-09-30,103.89,99.89,104.4
2017-10-31,104.08,100.18,96.24
2017-11-30,104.5,100.4,89.49
2017-12-31,103.12,98.68,88.25
2018-01-31,102.48,100.0,86.27
2018-02-28,99.57,97.16,90.69
2018-03-31,98.03,98.46,90.92
2018-04-30,98.13,100.1,92.35
2018-05-31,99.25,101.14,93.36
2018-06-30,98.51,99.26,92.07
2018-07-31,97.36,98.83,92.68
2018-08-31,95.66,98.26,91.98
2018-09-30,95.52,99.85,91.94
2018-10-31,95.34,99.82,91.61
2018-11-30,96.7,101.42,92.53
2018-12-31,96.59,99.89,93.67
2019-01-31,96.55,99.96,94.22
2019-02-28,96.68,100.13,97.1
2019-03-31,96.93,100.25,98.87
2019-04-30,97.89,101.0,99.75
2019-05-31,98.2,100.31,98.94
2019-06-30,98.07,99.87,99.55
2019-07-31,98.08,100.01,100.73
2019-08-31,98.06,99.98,102.51
2019-09-30,98.03,99.97,102.64
2019-10-31,97.66,99.62,102.43
2019-11-30,98.24,100.59,101.59
2019-12-31,98.34,100.11,101.81
2020-01-31,97.03,98.67,100.5
2020-02-29,98.17,101.17,101.54
2020-03-31,98.41,100.25,101.54
2020-04-30,98.5,100.08,100.62
2020-05-31,98.54,100.05,100.35
2020-06-30,98.58,100.04,100.53
2020-07-31,98.55,99.97,100.49
2020-08-31,98.54,99.99,100.49
2020-09-30,98.53,99.98,100.51
2020-10-31,98.56,100.04,100.92
2020-11-30,98.53,99.97,100.3
2020-12-31,98.93,100.4,100.6
2021-01-31,100.07,101.16,103.13
2021-02-28,99.17,99.1,101.01
2021-03-31,100.25,101.09,101.87
2021-04-30,100.18,99.93,101.71
2021-05-31,100.18,100.0,101.66
2021-06-30,100.11,99.93,101.55
2021-07-31,100.0,99.89,101.47
2021-08-31,100.05,100.05,101.53
2021-09-30,99.6,99.54,101.09
2021-10-31,100.25,100.65,101.71
2021-11-30,101.46,101.21,102.97
2021-12-31,99.41,97.98,100.49
2022-01-31,100.52,101.11,100.44
2022-02-28,98.32,97.81,99.14
2022-03-31,100.31,102.03,100.06
2022-04-30,101.03,100.71,100.84
2022-05-31,102.61,101.57,102.43
2022-06-30,102.72,100.1,102.6
2022-07-31,103.2,100.47,103.2
2022-08-31,103.04,99.84,102.98
2022-09-30,103.45,100.4,103.86
2022-10-31,103.29,99.85,103.04
2022-11-30,103.33,100.03,101.84
2022-12-31,103.06,99.74,103.67
2023-01-31,104.01,100.92,103.47
2023-02-28,103.41,99.42,105.17
2023-03-31,103.4,100.0,103.08
2023-04-30,103.22,99.83,102.18
2023-05-31,102.56,99.36,99.95
2023-06-30,102.39,99.83,99.68
2023-07-31,102.49,100.1,99.32
2023-08-31,102.54,100.05,99.52
2023-09-30,102.91,100.36,99.48
2023-10-31,103.8,100.86,100.49
2023-11-30,103.78,99.99,100.44
2023-12-31,103.99,100.2,100.91
2024-01-31,103.9,99.91,99.9
2024-02-29,102.56,98.71,99.18
2024-03-31,102.48,99.93,99.11
2024-04-30,102.82,100.33,99.61
2024-05-31,102.96,100.13,100.39
2024-06-30,102.14,99.2,99.76
2024-07-31,103.15,100.99,100.64
2024-08-31,104.21,101.03,101.63
2024-09-30,104.39,100.17,101.44
2024-10-31,105.06,100.65,101.22
2024-11-30,104.56,99.52,100.75
2024-12-31,105.92,101.3,101.86
2025-01-31,105.68,99.77,101.71
2025-02-28,104.83,99.2,102.22
2025-03-31,104.73,99.9,102.19
2025-04-30,104.97,100.23,102.09
2025-05-31,105.03,100.06,102.02
2025-06-30,105.1,100.06,102.9
2025-07-31,105.04,99.95,101.83
2025-08-31,105.05,100.01,100.81
2025-09-30,105.05,100.0,100.64
2025-10-31,104.94,99.9,99.89
2025-11-30,105.42,100.46,100.82
2025-12-31,105.19,99.78,99.3
2026-01-31,105.87,100.65,100.19
2026-02-28,105.31,99.46,100.46
2026-03-31,105.68,100.35,100.91
2026-04-30,106.23,100.52,101.19
2026-05-31,105.26,99.09,100.22
2026-06-30,105.26,100.0,100.15
2026-07-31,105.2,99.95,100.15
2026-08-31,104.96,99.77,99.92
