发布日期,线路,车型,单位,价格,环比(%)
2026-08-21,西安-成都,整车价格(9.6米),元/车,3689,4.68
2026-08-21,长沙-厦门,整车价格(9.6米),元/车,9865,-1.14
2026-08-21,宁波-深圳,整车价格(9.6米),元/车,12481,-0.94
2026-08-21,西安-成都,整车价格(13.5米),元/车,5125,4.72
2026-08-21,长沙-厦门,整车价格(13.5米),元/车,13702,-1.14
2026-08-21,宁波-深圳,整车价格(13.5米),元/车,17335,-0.94
2026-08-21,西安-成都,整车价格(17.5米),元/车,6149,4.70
2026-08-21,长沙-厦门,整车价格(17.5米),元/车,16442,-1.14
2026-08-21,宁波-深圳,整车价格(17.5米),元/车,20803,-0.94
2026-08-21,西安-成都,零担轻货价格,元/立方,71,0
2026-08-21,长沙-厦门,零担轻货价格,元/立方,79,0
2026-08-21,宁波-深圳,零担轻货价格,元/立方,156,0
2026-08-21,西安-成都,零担重货价格,元/吨,204,4.61
2026-08-21,长沙-厦门,零担重货价格,元/吨,547,-1.26
2026-08-21,宁波-深圳,零担重货价格,元/吨,693,-0.86
