日期,定基指数,环比指数,同比指数
2016-01-31,94.61,100.0,100.0
2016-02-29,52.46,55.45,100.0
2016-03-31,93.9,178.99,100.0
2016-04-30,102.13,108.76,100.0
2016-05-31,105.71,103.51,100.0
2016-06-30,103.3,97.72,100.0
2016-07-31,102.52,99.24,100.0
2016-08-31,106.86,104.23,100.0
2016-09-30,111.76,104.59,100.0
2016-10-31,108.68,97.24,100.0
2016-11-30,116.28,106.99,100.0
2016-12-31,99.89,85.9,100.0
2017-01-31,96.58,96.69,102.08
2017-02-28,56.95,58.97,108.56
2017-03-31,102.52,180.02,109.18
2017-04-30,110.03,107.33,107.74
2017-05-31,114.33,103.91,108.15
2017-06-30,110.4,96.56,106.87
2017-08-31,120.08,108.77,112.37
2017-09-30,125.06,104.15,111.9
2017-10-31,119.66,95.68,110.1
2017-11-30,125.06,104.51,107.55
2017-12-31,119.66,95.68,119.79
2018-01-31,125.06,104.51,129.49
2018-02-28,125.06,100.0,219.6
2018-03-31,125.06,100.0,121.99
2018-04-30,120.08,96.02,109.13
2018-05-31,115.96,96.57,101.43
2018-06-30,125.06,107.85,113.28
2018-07-04,125.83,115.84,120.89
2018-08-30,130.12,120.15,129.61
2018-09-30,135.2,120.64,126.81
2018-10-30,131.18,123.25,121.94
2018-11-30,126.35,120.28,121.55
2018-12-30,133.17,119.12,125.31
2019-01-30,126.81,125.38,125.67
2019-02-27,130.84,116.89,121.12
2019-03-30,132.42,121.11,127.49
2019-04-30,127.29,116.83,121.46
2019-05-30,128.32,117.6,122.26
2019-06-30,130.92,123.2,122.43
2019-07-31,94.61,100.0,100.0
2019-08-31,52.46,55.45,100.0
2019-09-30,93.9,178.99,100.0
2019-10-31,102.13,108.76,100.0
2019-11-30,105.71,103.51,100.0
2019-12-31,103.3,97.72,100.0
2020-01-31,102.52,99.24,100.0
2020-02-29,106.86,104.23,100.0
2020-03-31,111.76,104.59,100.0
2020-04-30,108.68,97.24,100.0
2020-05-31,116.28,106.99,100.0
2020-06-30,99.89,85.9,100.0
2020-07-31,96.58,96.69,102.08
2020-08-31,56.95,58.97,108.56
