日期,定基指数,环比指数,同比指数
2015-02-11,1119.47,1000.0,1000.0
2015-12-02,1051.89,988.25,960.54
2015-12-09,1028.4,977.67,981.28
2015-12-16,991.78,964.39,935.04
2015-12-23,995.84,1004.1,956.45
2015-12-30,999.15,1003.32,965.77
2016-01-06,997.37,998.22,921.9
2016-01-13,997.57,1000.21,939.69
2016-01-20,980.29,982.68,909.8
2016-01-27,966.45,985.88,881.57
2016-02-03,964.37,997.85,831.28
2016-02-17,960.19,995.66,914.47
2016-02-24,963.6,1003.55,908.42
2016-03-02,961.9,998.23,841.14
2016-03-09,960.02,998.05,836.76
2016-03-16,971.56,1012.02,834.9
2016-03-23,973.53,1002.03,850.08
2016-03-30,976.14,1002.69,879.14
2016-04-06,1012.42,1037.17,828.44
2016-04-13,1054.85,1041.91,933.47
2016-04-20,1078.94,1022.83,977.17
2016-04-27,1059.32,981.82,949.12
2016-05-04,1054.79,995.72,988.99
2016-05-11,1028.49,975.06,948.77
2016-05-18,1021.22,992.93,977.75
2016-05-25,1008.57,987.62,1071.64
2016-06-01,1011.06,1002.47,1047.0
2016-06-08,1011.25,1000.18,1053.03
2016-06-15,1012.91,1001.64,996.47
2016-06-22,1013.56,1000.65,980.85
2016-06-29,1014.6,1001.02,1004.37
2016-07-06,1013.97,999.38,954.18
2016-07-13,1027.42,1013.27,982.28
2016-07-20,1017.23,990.07,980.27
2016-07-27,1000.75,983.81,970.09
2016-08-03,984.42,983.68,956.34
2016-08-10,971.68,987.06,942.02
2016-08-17,963.38,991.46,937.54
2016-08-24,962.11,998.68,940.48
2016-08-31,962.7,1000.61,928.23
2016-09-07,966.64,1004.09,927.26
2016-09-14,994.26,1028.58,941.13
2016-09-21,991.19,996.91,921.12
2016-09-28,1028.46,1037.61,1000.0
2016-10-12,1058.54,1029.25,964.5
2016-10-19,1082.4,1022.54,1004.92
2016-10-26,1103.38,1019.38,1040.28
2016-11-02,1101.32,998.13,1064.18
2016-11-09,1212.77,1101.2,1162.38
2016-11-16,1197.31,987.25,1131.16
2016-11-23,1159.45,968.38,1089.29
2016-11-30,1185.22,1022.23,1126.75
2016-12-07,1170.01,987.17,1137.7
2016-12-14,1166.58,997.07,1176.25
2016-12-21,1166.69,1000.09,1171.56
2016-12-28,1170.41,1003.19,1171.41
2017-01-04,1172.43,1001.73,1175.52
2017-01-11,1192.62,1017.22,1195.52
2017-01-18,1198.32,1004.78,1222.41
2017-02-08,1100.95,918.74,1000.0
2017-02-15,1107.29,1005.76,1153.19
2017-02-22,1085.59,980.41,1126.6
2017-03-01,1087.46,1001.72,1130.54
2017-03-08,1083.56,996.42,1128.69
2017-03-15,1075.53,992.59,1107.01
2017-03-22,1068.51,993.47,1097.56
2017-03-29,1076.2,1007.2,1102.51
2017-04-05,1061.2,986.06,1048.18
2017-04-12,1069.87,1008.17,1014.23
2017-04-19,1058.78,989.64,981.32
2017-04-26,1060.68,1001.8,1001.29
2017-05-03,1048.55,988.56,994.09
2017-05-10,1067.47,1018.04,1037.9
2017-05-17,1074.65,1006.73,1052.32
2017-05-24,1061.68,987.93,1052.65
2017-06-07,1066.73,1005.84,1054.87
2017-06-14,1081.35,1013.71,1067.57
2017-06-21,1069.17,988.74,1054.86
2017-06-28,1062.45,993.71,1047.16
2017-07-05,1045.21,983.77,1030.81
2017-07-12,1054.54,1008.93,1026.39
2017-07-19,1053.92,999.41,1036.07
2017-07-26,1048.55,994.9,1047.76
2017-08-02,1049.91,1001.3,1066.52
2017-08-09,1044.89,995.22,1075.34
2017-08-16,1049.23,1004.15,1089.11
2017-08-23,1032.09,983.66,1072.73
2017-08-30,1024.02,992.18,1063.7
2017-09-06,1045.62,1021.09,1081.71
2017-09-13,1037.07,991.82,1043.06
2017-09-20,1043.87,1006.56,1053.15
2017-09-27,1029.1,985.85,1000.62
2017-10-11,1015.82,987.1,959.64
2017-10-18,1043.33,1027.08,963.9
2017-10-25,1063.32,1019.16,963.69
2017-11-01,1042.05,980.0,946.19
2017-11-08,1043.96,1001.83,860.81
2017-11-15,1046.18,1002.13,873.78
2017-11-22,1046.37,1000.18,902.47
2017-11-29,1046.34,999.97,882.82
2017-12-06,1043.55,997.33,891.91
2017-12-13,1039.63,996.24,891.18
2017-12-20,1029.15,989.92,882.11
2017-12-27,1012.36,983.69,864.96
2018-01-03,1051.29,1038.46,896.68
2018-01-10,1014.51,965.01,850.66
2018-01-17,1022.24,1007.62,853.06
2018-01-24,1020.18,997.98,997.98
2018-01-31,1015.53,995.44,850.66
2018-02-07,987.46,972.36,896.92
2018-02-14,1025.28,1038.3,925.94
2018-02-21,1003.91,1016.66,924.76
2018-02-28,985.12,981.28,905.89
2018-03-07,989.92,1004.87,913.58
2018-03-14,1002.73,1012.94,932.31
2018-03-21,949.43,946.85,888.56
2018-03-28,957.72,1008.73,889.9
2018-04-04,969.23,1012.02,913.34
2018-04-11,971.21,1002.04,907.78
2018-04-18,996.78,1026.33,941.44
2018-04-25,988.14,991.33,931.61
2018-05-02,1005.97,1007.96,959.39
2018-05-09,1000.27,994.33,937.05
2018-05-16,976.3,976.04,908.48
2018-05-23,989.3,1013.32,931.83
2018-05-30,990.66,1001.37,987.4
2018-06-06,990.35,999.69,928.4
2018-06-13,991.34,1001.0,916.76
2018-06-20,991.36,1000.02,927.22
2018-06-27,967.37,975.8,910.51
2018-07-04,975.97,1008.89,933.75
2018-07-11,975.69,999.71,925.23
2018-07-18,975.74,1000.05,925.82
2018-07-25,967.07,991.11,922.29
2018-08-01,975.35,1008.56,928.98
2018-08-08,938.67,962.39,898.34
2018-08-15,965.42,1028.5,920.12
2018-08-22,951.93,986.03,922.33
2018-08-29,951.77,999.83,929.44
2018-09-05,951.91,1000.15,910.38
2018-09-12,965.46,1014.23,930.95
2018-09-19,952.28,986.35,912.26
2018-09-26,950.95,998.6,924.06
2018-10-03,953.48,1002.66,1000.0
2018-10-10,953.45,999.97,938.61
2018-10-17,953.36,999.9,913.77
2018-10-24,953.5,1000.15,896.72
2018-10-31,953.58,1000.09,915.1
2018-11-07,967.06,1014.13,926.34
2018-11-14,966.92,999.86,924.24
2018-11-21,966.9,999.98,924.05
2018-11-28,966.92,1000.02,924.1
2018-12-05,964.94,997.95,924.67
2018-12-12,966.45,1001.56,929.61
2018-12-19,966.08,999.62,938.72
2018-12-26,966.19,1000.11,954.39
2019-01-02,966.01,999.81,918.88
2019-01-09,965.1,999.06,951.29
2019-01-16,965.25,1000.16,944.25
2019-01-23,965.76,1000.53,946.66
2019-01-30,965.62,999.86,950.85
2019-02-06,965.89,1000.28,978.16
2019-02-13,965.81,999.91,942.0
2019-02-20,967.56,1001.82,963.79
2019-02-27,967.95,1000.4,982.57
2019-03-06,967.69,999.73,977.54
2019-03-13,967.39,999.69,964.76
2019-03-20,969.02,1001.69,1020.64
2019-03-27,972.9,1004.0,1015.85
2019-04-03,972.41,999.49,1003.28
2019-04-10,971.72,999.3,1000.53
2019-04-17,986.05,1014.75,989.24
2019-04-24,985.53,999.47,997.36
2019-05-01,984.98,999.44,979.13
2019-05-08,984.56,999.58,984.29
2019-05-15,980.04,995.41,1003.83
2019-05-22,980.28,1000.25,990.89
2019-05-29,979.99,999.7,989.23
2019-06-05,980.06,1000.08,989.61
2019-06-12,980.83,1000.79,989.4
2019-06-19,980.81,999.98,989.36
2019-06-26,980.95,1000.15,1014.04
2019-07-03,980.4,999.44,1004.54
2019-07-10,980.44,1000.04,1004.87
2019-07-17,981.04,1000.61,1005.43
2019-07-24,980.98,999.94,1014.38
2019-07-31,980.98,1000.0,1005.77
2019-08-07,980.5,999.51,1044.56
2019-08-14,981.14,1000.65,1016.28
2019-08-21,980.77,999.62,1030.29
2019-08-28,980.07,999.29,1029.73
2019-09-04,979.61,999.53,1029.1
2019-09-11,980.79,1001.2,1015.88
2019-09-18,980.86,1000.07,1030.01
2019-09-25,980.05,999.18,1030.6
2019-10-02,950.16,969.51,996.52
2019-10-09,982.73,1034.28,1030.71
2019-10-16,983.49,1000.77,1031.61
2019-10-23,983.58,1000.09,1031.54
2019-10-30,983.22,999.64,1031.08
2019-11-06,982.28,999.04,1015.73
2019-11-13,981.87,999.59,1015.46
2019-11-20,981.21,999.33,1014.8
2019-11-27,984.05,1002.89,1017.72
2019-12-04,983.83,999.77,1019.57
2019-12-11,983.71,999.89,1017.86
2019-12-18,983.75,1000.04,1018.29
2019-12-25,982.36,998.59,1016.74
2020-01-01,982.02,999.66,1016.58
2020-01-08,982.5,1000.48,1018.03
2020-01-15,981.06,998.53,1016.37
2020-01-22,979.79,998.7,1014.52
2020-01-29,980.0,1000.22,1014.89
2020-02-05,980.22,1000.22,1014.84
2020-02-12,979.93,999.71,1014.63
2020-02-19,982.96,1003.09,1015.92
2020-02-26,983.79,1000.84,1016.37
2020-03-04,983.95,1000.16,1016.8
2020-03-11,983.6,999.65,1016.76
2020-03-18,984.41,1000.82,1015.88
2020-03-25,984.58,1000.17,1012.01
2020-04-01,984.92,1000.34,1012.87
2020-04-08,984.29,999.36,1012.94
2020-04-15,984.35,1000.06,998.27
2020-04-22,985.48,1001.15,999.95
2020-04-29,985.81,1000.34,1000.85
2020-05-06,985.38,999.56,1000.83
2020-05-13,985.15,999.77,1005.22
2020-05-20,985.67,1000.53,1005.49
2020-05-27,985.56,999.89,1005.69
2020-06-03,985.63,1000.07,1005.68
2020-06-10,985.54,999.91,1004.79
2020-06-17,986.3,1000.78,1005.6
2020-07-01,985.29,1000.0,1004.98
2020-07-08,985.23,999.94,1004.88
2020-07-08,985.23,999.94,1004.88
2020-07-15,985.17,999.94,1004.21
2020-07-22,985.97,1000.81,1005.08
2020-07-29,986.35,1000.39,1005.47
2020-08-05,985.97,999.62,1005.58
2020-08-12,985.66,999.69,1004.61
2020-08-19,985.03,999.36,1004.35
2020-08-26,985.12,1000.09,1005.15
2020-09-02,985.05,999.94,1005.56
2020-09-09,985.75,1000.71,1005.06
2020-09-16,985.47,999.72,1004.71
2020-09-23,985.37,999.89,1005.43
2020-09-30,984.77,999.39,1036.42
2020-10-07,985.51,1000.76,1002.83
2020-10-14,985.21,999.69,1001.75
2020-10-21,986.25,1001.06,1002.72
2020-10-28,985.56,999.29,1002.38
2020-11-04,986.24,1000.69,1004.04
2020-11-11,985.49,999.23,1003.69
2020-11-18,984.6,999.1,1003.45
2020-11-25,984.93,1000.34,1000.89
2020-12-02,986.51,1001.6,1002.73
2020-12-09,986.92,1000.41,1003.26
2020-12-16,987.11,1000.19,1003.42
2020-12-23,986.22,999.3,1003.93
2020-12-30,999.6,1013.56,0.0
2021-01-06,999.85,1000.25,1018.16
2021-01-13,1000.05,1000.2,1017.87
2021-01-20,1001.46,1001.41,1020.8
2021-01-27,1001.54,1000.08,1022.21
2021-02-03,1000.9,999.36,1021.32
2021-02-10,988.49,987.6,1008.43
2021-02-17,974.11,985.45,994.05
2021-02-24,1003.25,1029.91,1020.63
2021-03-03,1003.44,1000.19,1019.97
2021-03-10,1002.95,999.51,1019.3
2021-03-17,1002.0,999.06,1018.71
2021-03-24,1002.46,1000.46,1018.34
2021-03-31,1001.66,999.2,1017.35
2021-04-07,1001.71,1000.05,1017.05
2021-04-14,1002.38,1000.66,1018.37
2021-04-21,1002.12,999.75,1018.06
2021-04-28,1001.13,999.01,1015.88
2021-05-05,1002.39,1001.27,1016.82
2021-05-12,1001.28,998.89,1016.14
2021-05-19,1001.51,1000.24,1016.61
2021-05-26,1001.97,1000.46,1016.54
2021-06-02,1001.84,999.87,1016.52
2021-06-09,1001.14,999.3,1015.74
2021-06-16,1000.37,999.23,1015.06
2021-06-23,1001.12,1000.75,1015.03
2021-06-30,1000.92,999.8,0.0
